fr,mc,phonetic,cat
Anne,Ana,,nom
anneau,anclu,,nom
année,anà,,nom
annexer,anessà,,verbe
annexion,anessiun,,nom
anniversaire,aniversari,,nom
annonce,anunça,,nom
annoncer,anunçà,,verbe
s'annoncer,se presentà,,verbe
Annonciade,Anunçiada,,nom
Annonciation,Anunçiaçiun,,nom
annuaire,anüari,,nom
annuel,anüalc,,adjectif
annuité,anüità,,nom
annulation,anülaçiun,,nom
annuler,anülà,,verbe
anoblir,anubli,,verbe
anomalie,anumalia,,nom
anonyme,anonimu,,adjectif
anormal,anurmale,,adjectif
anse,ansa,,nom
antagonisme,antagonismu,,nom
antagoniste,antagunista,,adjectif
antan (d'),anisun,,locution
antécédent,anteccedente,,adjectif
antéchrist,antecristu,,nom
antenne,antena,,nom
antérieur,anteriù,,adjectif
antériorité,anteriurità,,nom
anthologie,antulugia,,nom
anthropoïde,antropoide,,nom
anthropologie,antrupulugia,,nom
anticipation,anticipaçiun,,nom
anticiper,anticipà,,verbe
antienne,antifuna,,nom
antipathie,antipatia,,nom
antipathique,antipaticu,,adjectif
antiphonaire,antifunari,,nom
antiquaille,anticaya,,nom
antiquaire,anticari,,nom
antique,anticu,,adjectif
antiquité,antichità,,nom
Antoine,Anto ni,,nom
antre,tana,,nom
anus,anüs,,nom
anxiété,ansietà,,nom
anxieux,ansiusu,,adjectif
août,austu,,nom
apaiser,paijà,,verbe
apathie,apatia,,nom
apathique,apaticu,,adjectif
apercevoir,aperçeve,,verbe
s'apercevoir,s'acorze,,verbe
aperçu,idea,,nom
apéritif,aperitivu,,nom
apeurer,spaventà,,verbe
aphrodisiaque,afrudisiacu,,nom
aplanir,sccianà,,verbe
aplatir,ciatà - s'aplatir,,verbe
aplomb,aciungiu,,nom
aplomb,assürança,,nom
apoplectique,apupleticu,,adjectif
apoplexie,apuplessia - attaque d'apoplexie,,nom
apostolique,apustolicu,,adjectif
apostrophe,apostrufu,,nom
apôtre,apostulu,,nom
apparaître,apari,,verbe
apparat,aparatu,,nom
appareiller (marine),levà l'an cura - appareiller (mettre ensemble),,verbe
apparence,aparença,,nom
apparent,aparente,,adjectif
apparenter,ümparentà,,verbe
s'apparenter,s'ümparentà,,verbe
apparition,apariçiun,,nom
appartement,apartamentu,,nom
appartenir,apartegne,,verbe
appât,brumesu - appâter,,nom
appauvrir,ümpuverl,,verbe
s'appauvrir,s'ümpuveri,,verbe
appauvrissement,ümpuverimentu,,nom
appeau,reciamu,,nom
appel,apelu,,nom
appel,ciamada,,nom
appeler,ciamà - s'appeler,,verbe
appeler (justice),apelà,,verbe
appellation,apelaçiun,,nom
appétissant,apetitusu,,adjectif
appétit,apetitu,,nom
applaudir,aplaudi,,verbe
applaudissement,aplausu,,nom
applicable,ap licabile,,adjectif
application,aplicaçiun,,nom
appliquer,aplicà - s'appliquer,,verbe
appointements,stipendi - paga,,nom
appointer (payer),stipendià,,verbe
apporter,purtà,,verbe
appréciable,apreçiabile,,adjectif
appréciation,apreçiaçiun,,nom
apprécier,apreçià,,verbe
appréhender (redouter),terne,,verbe
appréhender (se saisir),se sesi,,verbe
apprendre (s'instruire),ümparà,,verbe
apprendre (enseigner),ünsegnà,,verbe
apprenti,nuviçi,,nom
apprenti maçon averti,mesa cassœra,,nom
apprentissage,aprentissage,,nom
apprêter,alesti,,verbe
s'apprêter,s'alestl,,verbe
apprivoiser,dumestegà,,verbe
s'apprivoiser,se dumestegà,,verbe
approbation,aprubaçiun,,nom
approche,avijinamentu,,nom
approcher,arrambà,,verbe
s'approcher,s'arrambà,,verbe
approfondir,aprufundi,,verbe
appropriation,aprupriaçiun,,nom
approprier,apruprià,,verbe
s'approprier,s'apruprià,,verbe
approuver,apruvà,,verbe
approvisionnement,apruvisiun,,nom
approvisionner,apruvisiunà,,verbe
s'approvisionner,s'apruvisiunà,,verbe
approximation,aprussimaçiun,,nom
appui,apogiu,,nom
appuyer,apugià,,verbe
s'appuyer,se carà,,verbe
âpre (rude),aspru,,adjectif
âpre (avide),avidu,,adjectif
après,dopu,,particule
après-demain,dopudeman,,adjectif
après-midi,dopudernà,,nom
âpreté,asprù,,nom
apte,adatu,,adjectif
aptitude,atitüdine,,nom
aqueux,aigusu,,adjectif
arabe,arabu,,adjectif
Arabie,Arabia,,nom
araignée,aragna,,nom
arbalète,balestra,,nom
arbalétrier,balestriè,,nom
arbitraire,arbitrari,,adjectif
arbitre,arbitru,,nom
arbitrer,arbitrà,,verbe
arborer,arburà,,verbe
arbouse,arbusa,,nom
arbousier,arbusè,,nom
arbre,arburu,,nom
arbuste,arbüstu,,nom
arc,arcu,,nom
arcade,arcada,,nom
arcade sourcilière,arcada de surçi,,autre
arc-en-ciel,arcüncelu,,nom
archaïque,arcaicu,,adjectif
archange,arcangelu,,nom
arche,arca,,nom
archéologie,archeulugia,,nom
archet,archetu,,nom
archevêque,arcivescu,,nom
archiduc,arcidüca,,nom
archipel,arcipelagu,,nom
archiprêtre,arcipreve,,nom
architecte,architetu,,nom
architecture,architetüra,,nom
archives,archiviu,,nom
archiviste,archivista,,nom
ardemment,ardentemente,,adjectif
ardent,ardente,,adjectif
ardeur,ardù,,nom
ardoise,arduasa,,nom
ardre,arsürà,,verbe
