fr,mc,phonetic,cat
colonie,culunia,,nom
colonnade,culunada,,nom
• colonne,culona,,nom
coloré,culuriu,,adjectif
colorer,culurà,,verbe
colorier,culurà,,verbe
coloris,culuriu,,nom
colossal,culussale,,adjectif
colosse,culossu,,nom
colporteur,marcante ambülante,,nom
combat,cumbatimentu,,nom
combatif,cunibativu,,adjectif
combattant,cumbatente,,adjectif
combattre,cumbate,,verbe
combe,cumba,,nom
combien,qantu,,adjectif
combinaison (arrangement),cumbinaçiun,,nom
combinaison (vêtement),cumbinesun,,nom
combinaison,cumbinaçiun,,nom
combinaison,cumbinesun,,nom
combiner,cumbinà,,verbe
comble (plein),curmu,,adjectif
combler,curmà,,verbe
combustible,cumbüstible,,adjectif
combustion,cumbüstiun,,nom
